time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-13T13:20:02.493Z,57.1135,-155.0476,49.9,3.5,ml,,,,0.86,ak,ak02120zi6zq,2021-03-14T16:24:17.040Z,"56 km WNW of Akhiok, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2021-02-13T13:56:12.565Z,-23.6568,-179.096,550.68,4.1,mb,,225,6.458,0.48,us,us6000djda,2021-02-20T20:15:30.040Z,"south of the Fiji Islands",earthquake,14.2,25.9,0.139,14,reviewed,us,us
2021-02-13T14:07:50.838Z,37.7602,141.7196,51.89,7.1,mww,,25,3.057,1.09,us,us6000dher,2021-03-15T01:31:46.315Z,"70 km ENE of Namie, Japan",earthquake,7.1,3.2,0.036,74,reviewed,us,us
2021-02-13T14:36:42.831Z,37.6283,141.677,58.97,4.9,mb,,130,2.977,1.15,us,us6000dhey,2021-03-14T17:03:26.146Z,"61 km ENE of Namie, Japan",earthquake,8.6,4,0.132,18,reviewed,us,us
2021-02-13T14:38:02.617Z,-10.5003,123.4832,43.37,4.6,mb,,69,1.069,1.01,us,us6000djdc,2021-02-20T20:24:31.040Z,"38 km SSW of Kupang, Indonesia",earthquake,4.9,11.2,0.243,5,reviewed,us,us
2021-02-13T14:51:05.324Z,37.6301,141.5051,52.05,4.9,mb,,185,2.85,0.83,us,us6000djdd,2021-02-20T20:53:17.040Z,"47 km ENE of Namie, Japan",earthquake,12.2,3.9,0.558,2,reviewed,us,us
2021-02-13T14:51:41.261Z,37.6932,141.7615,45.1,5.4,mb,,46,3.063,1.13,us,us6000dhf6,2021-03-14T17:23:50.218Z,"71 km ENE of Namie, Japan",earthquake,7.6,5.2,0.027,468,reviewed,us,us
2021-02-13T14:58:43.988Z,37.7298,141.6813,67.88,4.4,mb,,188,3.017,1.03,us,us6000djde,2021-02-20T20:52:10.040Z,"66 km ENE of Namie, Japan",earthquake,11.3,11.6,0.155,12,reviewed,us,us
2021-02-13T15:19:14.265Z,-10.5007,123.4798,47.96,4.7,mb,,113,1.072,0.67,us,us6000dhfe,2021-03-14T17:18:35.040Z,"39 km SSW of Kupang, Indonesia",earthquake,6.9,5.3,0.133,17,reviewed,us,us
2021-02-13T15:33:57.009Z,-7.2148,149.3549,35,5.6,mb,,43,10.273,1.25,us,us6000dhfg,2021-03-14T17:46:26.384Z,"113 km S of Kandrian, Papua New Guinea",earthquake,7.7,1.9,0.039,226,reviewed,us,us
2021-02-13T16:11:39.964Z,62.1588,-152.127,104.6,2.5,ml,,,,0.4,ak,ak0212118ndv,2021-03-14T17:45:33.040Z,"42 km WNW of Skwentna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-02-13T16:14:42.537Z,37.7578,141.664,61.4,4.4,mb,,142,3.015,1.41,us,us6000dhfs,2021-03-14T17:51:19.040Z,"66 km ENE of Namie, Japan",earthquake,5.8,8.6,0.162,11,reviewed,us,us
2021-02-13T16:26:43.076Z,-24.1942,179.5407,662.1,4.5,mb,,140,5.515,0.77,us,us6000dhfx,2021-02-13T17:31:05.040Z,"south of the Fiji Islands",earthquake,15.8,25,0.122,20,reviewed,us,us
2021-02-13T16:32:58.726Z,37.7166,141.7406,56.51,4.4,mb,,142,3.056,0.85,us,us6000dhg1,2021-02-13T17:18:30.040Z,"70 km ENE of Namie, Japan",earthquake,9.6,8.1,0.127,18,reviewed,us,us
2021-02-13T17:12:13.918Z,27.2185,53.5542,10,4,mb,,112,3.286,0.99,us,us6000djdy,2021-03-14T19:06:26.040Z,"76 km ESE of Mohr, Iran",earthquake,9.1,1.9,0.164,12,reviewed,us,us
2021-02-13T17:38:31.173Z,52.139,-170.7078,35,3.3,ml,,214,0.846,0.67,us,us7000deb2,2021-03-14T19:38:15.040Z,"153 km SW of Nikolski, Alaska",earthquake,7.5,2,0.128,8,reviewed,us,us
2021-02-13T18:18:56.567Z,2.0091,122.6063,462.53,4.1,mb,,100,2.03,0.97,us,us6000djdk,2021-03-14T19:59:27.040Z,"170 km NNW of Gorontalo, Indonesia",earthquake,19.1,11.8,0.166,11,reviewed,us,us
2021-02-13T18:25:28.868Z,39.1271,142.4521,48.24,5.2,mb,,63,1.973,1.19,us,us6000dhgd,2021-02-14T07:35:07.634Z,"53 km ESE of Kamaishi, Japan",earthquake,7.5,6.6,0.031,352,reviewed,us,us
2021-02-13T18:49:39.605Z,-20.4959,-70.669,13.66,5.2,mwr,,63,0.462,0.97,us,us6000dhgh,2021-02-18T18:41:51.759Z,"62 km WSW of Iquique, Chile",earthquake,3.6,2.9,,,reviewed,us,guc
2021-02-13T19:00:58.050Z,19.1325,-65.231,28,3.19,md,10,328,1.1673,0.45,pr,pr2021044013,2021-03-03T00:53:43.040Z,"92 km N of Culebra, Puerto Rico",earthquake,2.93,31.25,0.09,6,reviewed,pr,pr
2021-02-13T19:05:43.840Z,-23.355,171.8039,10,4.8,mb,,113,8.087,0.5,us,us6000djdm,2021-03-03T01:04:16.040Z,"southeast of the Loyalty Islands",earthquake,7.5,1.9,0.105,28,reviewed,us,us
2021-02-13T19:13:00.760Z,19.4718333333333,-155.595166666667,-2.13,2.65,ml,51,56,,0.19,hv,hv72350047,2021-03-03T01:06:34.577Z,"28 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.22,0.15,0.196042253847986,30,reviewed,hv,hv
2021-02-13T19:18:11.355Z,51.9907,-169.3141,28.81,3.8,mb,,220,1.536,0.31,us,us6000djdn,2021-03-03T01:26:29.040Z,"109 km SSW of Nikolski, Alaska",earthquake,8.1,10.9,0.098,27,reviewed,us,us
2021-02-13T19:35:06.955Z,-22.7278,172.1279,10,4.4,mb,,117,7.449,0.89,us,us6000djdr,2021-03-03T01:36:01.040Z,"southeast of the Loyalty Islands",earthquake,15.9,2,0.161,11,reviewed,us,us
2021-02-13T19:42:59.597Z,-23.0708,171.0364,10,4.6,mb,,120,8.446,0.56,us,us6000djds,2021-03-03T02:21:30.040Z,"southeast of the Loyalty Islands",earthquake,14.7,2,0.146,14,reviewed,us,us
2021-02-13T21:12:21.471Z,-23.9581,-66.784,212.9,4.4,mb,,72,1.625,0.88,us,us6000dhh6,2021-03-03T03:30:38.040Z,"55 km WNW of San Antonio de los Cobres, Argentina",earthquake,8,2.3,0.114,22,reviewed,us,us
2021-02-13T21:48:48.446Z,-23.1095,171.7879,10,5,mb,,85,7.935,0.8,us,us6000djdv,2021-03-03T04:21:40.040Z,"southeast of the Loyalty Islands",earthquake,12,1.9,0.085,44,reviewed,us,us
2021-02-13T21:49:21.337Z,18.4076,145.3853,479.62,4,mb,,65,3.179,0.58,us,us6000djdu,2021-03-03T04:31:53.040Z,"Pagan region, Northern Mariana Islands",earthquake,13.4,8,0.102,26,reviewed,us,us
2021-02-13T21:52:01.356Z,18.687,145.6344,144.62,3.8,mb,,146,3.437,0.88,us,us6000djeh,2021-03-03T05:12:32.040Z,"Pagan region, Northern Mariana Islands",earthquake,10.6,10.9,0.179,8,reviewed,us,us
2021-02-13T21:53:15.390Z,-22.5696,171.28,10,4.2,mb,,123,7.968,0.57,us,us6000dje8,2021-03-03T04:42:57.040Z,"southeast of the Loyalty Islands",earthquake,10,2,0.175,9,reviewed,us,us
2021-02-13T21:59:10.738Z,-23.0823,171.7812,10,4.6,mb,,114,7.922,0.8,us,us6000djdw,2021-03-03T04:52:38.040Z,"southeast of the Loyalty Islands",earthquake,13.6,1.9,0.122,20,reviewed,us,us
2021-02-13T22:00:23.340Z,38.1355,72.6094,111.63,4,mb,,68,1.485,0.35,us,us6000dhhf,2021-03-03T04:59:59.546Z,"117 km NE of Khorugh, Tajikistan",earthquake,5.1,7.8,0.126,17,reviewed,us,us
2021-02-13T22:04:29.200Z,19.5936,-66.3146,27,3.59,md,22,280,1.1369,0.41,pr,pr2021044015,2021-03-03T05:14:58.040Z,"124 km N of Brenas, Puerto Rico",earthquake,1.63,28,0.1,17,reviewed,pr,pr
2021-02-13T22:09:40.024Z,61.6027,-140.3935,3.68,2.5,ml,,30,0.439,0.6,us,us6000dhhm,2021-03-03T05:18:54.040Z,"125 km SSE of Alcan Border, Alaska",earthquake,0.8,8.8,0.042,74,reviewed,us,us
2021-02-13T22:38:46.004Z,52.091,-169.8079,50.48,3.5,mb,,223,1.588,0.51,us,us6000dje1,2021-03-03T05:45:03.040Z,"114 km SW of Nikolski, Alaska",earthquake,10.7,13.4,0.132,14,reviewed,us,us
2021-02-13T22:42:55.889Z,-24.3275,-179.9543,505.66,4.1,mb,,127,6.809,0.77,us,us6000dje0,2021-03-03T05:57:06.040Z,"south of the Fiji Islands",earthquake,14.4,12.2,0.14,14,reviewed,us,us
2021-02-13T22:54:16.562Z,-61.5858,-55.0248,19.32,4.2,mb,,104,1.841,0.98,us,us6000dje2,2021-03-03T06:06:06.040Z,"South Shetland Islands",earthquake,7.2,3.6,0.236,5,reviewed,us,us
2021-02-13T22:57:35.645Z,-61.6262,-55.0893,10,4.9,mb,,58,1.797,0.95,us,us6000dje9,2021-03-03T06:26:40.040Z,"South Shetland Islands",earthquake,6.7,0.9,0.078,52,reviewed,us,us
2021-02-13T23:28:22.780Z,69.4645,-144.2605,3.4,2.6,ml,,,,0.55,ak,ak021215iam1,2021-03-03T06:39:56.040Z,"78 km SSW of Kaktovik, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2021-02-13T23:28:42.230Z,19.175,-155.477666666667,32.12,3.06,md,58,75,,0.1,hv,hv72350242,2021-03-03T06:44:39.688Z,"3 km S of Pāhala, Hawaii",earthquake,0.38,0.56,0.0855077545083827,27,reviewed,hv,hv
2021-02-14T00:15:02.066Z,-22.2308,171.4658,10,4.5,mb,,122,7.633,0.64,us,us6000djek,2021-03-04T00:16:07.040Z,"southeast of the Loyalty Islands",earthquake,14.2,2,0.135,16,reviewed,us,us
2021-02-14T00:37:50.458Z,4.8125,127.088,39.86,4.7,mb,,114,2.698,0.73,us,us6000dhi3,2021-03-04T00:26:05.040Z,"191 km ESE of Sarangani, Philippines",earthquake,7,6.9,0.079,49,reviewed,us,us
2021-02-14T00:39:56.214Z,-8.7137,116.8842,10,4.4,mb,,65,2.712,1.23,us,us6000dhi5,2021-03-04T01:03:24.284Z,"33 km SE of Labuan Lombok, Indonesia",earthquake,8.4,1.9,0.155,12,reviewed,us,us
2021-02-14T00:51:11.758Z,54.268,-162.5081,20.5,3.1,ml,,215,0.712,0.87,us,us7000demw,2021-03-05T02:20:08.040Z,"87 km SE of False Pass, Alaska",earthquake,4.7,12.1,0.115,10,reviewed,us,us
2021-02-14T01:05:40.128Z,55.3244,-160.4149,83.25,2.5,ml,,308,0.043,0.16,us,us7000den3,2021-03-02T22:05:05.040Z,"5 km ESE of Sand Point, Alaska",earthquake,12.1,7.5,0.181,4,reviewed,us,us
2021-02-14T01:33:10.818Z,51.2279,-115.5585,17.36,4.1,mwr,,76,1.208,0.87,us,us6000dhih,2021-03-12T03:12:44.110Z,"5 km N of Banff, Canada",earthquake,5,7.2,,,reviewed,us,pgc
2021-02-14T02:17:23.250Z,39.0801667,-109.2996667,6,2.73,ml,17,101,0.577,0.16,uu,uu60426937,2021-03-12T03:15:09.040Z,"37 km ENE of Thompson Springs, Utah",earthquake,0.55,31.61,0.093,6,reviewed,uu,uu
2021-02-14T03:23:40.760Z,19.078,-64.759,60,3.37,md,10,339,1.4365,0.14,pr,pr2021045000,2021-03-12T03:16:18.040Z,"82 km N of Cruz Bay, U.S. Virgin Islands",earthquake,2.7,6.26,0.14,7,reviewed,pr,pr
2021-02-14T03:39:36.613Z,-17.1632,-174.8401,262.38,4.3,mb,,158,4.247,0.91,us,us6000djen,2021-03-12T03:19:55.040Z,"174 km SW of Hihifo, Tonga",earthquake,14.9,9.2,0.169,11,reviewed,us,us
2021-02-14T03:50:37.437Z,-23.3558,-179.5738,577.72,4.4,mb,,114,6.009,0.73,us,us6000dhiq,2021-03-12T03:21:14.040Z,"south of the Fiji Islands",earthquake,15.3,13.4,0.154,12,reviewed,us,us
2021-02-14T03:55:31.928Z,-20.5142,-173.8144,10,4.4,mb,,110,3.929,1.02,us,us6000djep,2021-03-12T03:22:15.040Z,"95 km SE of Pangai, Tonga",earthquake,13.6,1.9,0.189,9,reviewed,us,us
2021-02-14T04:17:38.800Z,19.3475,-65.098,94,3.43,md,6,341,1.4201,0.35,pr,pr2021045005,2021-02-14T12:43:01.210Z,"112 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,7.21,14.41,0.03,5,reviewed,pr,pr
2021-02-14T05:11:22.106Z,37.5705,141.9581,59.65,4.6,mb,,136,3.169,0.56,us,us6000dhiw,2021-03-11T12:57:14.040Z,"85 km E of Namie, Japan",earthquake,7.6,7.7,0.107,26,reviewed,us,us
2021-02-14T05:24:20.951Z,-21.9848,-66.0437,262.74,4.3,mb,,58,2.197,0.71,us,us6000dhix,2021-03-11T13:02:07.040Z,"47 km WNW of Villazón, Bolivia",earthquake,6.1,9.3,0.119,20,reviewed,us,us
2021-02-14T05:53:54.095Z,37.6475,141.6251,62.44,4.3,mb,,79,2.945,0.59,us,us6000dhj0,2021-03-11T13:12:26.040Z,"58 km ENE of Namie, Japan",earthquake,7,6.4,0.091,34,reviewed,us,us
2021-02-14T05:54:39.784Z,43.2314,-126.8153,10,3.2,ml,,244,2.057,0.5,us,us6000dhiz,2021-03-11T13:18:17.040Z,"off the coast of Oregon",earthquake,6.7,2,0.043,72,reviewed,us,us
2021-02-14T06:04:19.515Z,-23.4197,171.7929,10,4.4,mb,,102,8.138,0.47,us,us6000djer,2021-03-11T13:40:51.040Z,"southeast of the Loyalty Islands",earthquake,9.1,1.9,0.13,17,reviewed,us,us
2021-02-14T06:15:24.848Z,-22.4751,170.7488,10,4.4,mb,,106,8.319,0.35,us,us6000djet,2021-03-11T13:58:58.040Z,"southeast of the Loyalty Islands",earthquake,14.2,1.9,0.123,19,reviewed,us,us
2021-02-14T06:39:18.690Z,40.3048333,-124.6073333,19.63,2.85,md,23,263,0.2031,0.15,nc,nc73522931,2021-03-12T08:38:15.040Z,"27km W of Petrolia, CA",earthquake,1.63,0.56,0.138,32,reviewed,nc,nc
2021-02-14T06:42:34.022Z,-22.2756,171.137,10,4.2,mb,,121,7.91,0.7,us,us6000djf1,2021-03-12T08:57:46.040Z,"southeast of the Loyalty Islands",earthquake,9.6,1.9,0.187,10,reviewed,us,us
2021-02-14T06:58:10.855Z,-6.4424,129.3673,175.46,4.2,mb,,73,4.527,0.74,us,us6000djew,2021-03-12T09:15:39.040Z,"Banda Sea",earthquake,11.4,7,0.187,8,reviewed,us,us
2021-02-14T07:31:49.565Z,37.4849,141.5329,43.02,5.1,mww,,55,2.822,0.68,us,us6000dhjm,2021-03-12T11:48:59.493Z,"47 km E of Namie, Japan",earthquake,5.4,4.8,0.068,21,reviewed,us,us
2021-02-14T07:59:23.201Z,37.6254,141.6781,53.2,4.4,mb,,146,2.977,0.64,us,us6000dhjz,2021-03-12T12:05:12.040Z,"near the east coast of Honshu, Japan",earthquake,8.5,8,0.076,50,reviewed,us,us
2021-02-14T08:03:52.835Z,-17.1751,167.4642,10,4.6,mb,,101,10.121,0.55,us,us6000djeu,2021-03-11T12:51:20.040Z,"109 km NW of Port-Vila, Vanuatu",earthquake,12,1.9,0.114,23,reviewed,us,us
2021-02-14T08:09:24.822Z,-22.6794,171.1504,10,5.3,mww,,85,8.129,0.52,us,us6000dhk4,2021-03-12T13:42:14.040Z,"southeast of the Loyalty Islands",earthquake,10.5,1.9,0.071,19,reviewed,us,us
2021-02-14T08:27:14.129Z,57.1743,-155.0061,8.4,2.6,ml,,,,0.66,ak,ak02122k3whz,2021-03-12T10:56:59.040Z,"55 km SW of Karluk, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2021-02-14T08:44:59.104Z,-22.7499,171.2151,10,5,mww,,103,8.122,0.73,us,us6000dhka,2021-03-13T07:59:45.040Z,"southeast of the Loyalty Islands",earthquake,11.1,1.9,0.086,13,reviewed,us,us
