time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-13T00:11:51.870Z,36.218,-117.9306667,3.09,2.84,ml,54,34,0.1102,0.19,ci,ci39550583,2021-02-21T04:26:25.040Z,"10km SE of Olancha, CA",earthquake,0.16,0.5,0.143,133,reviewed,ci,ci
2021-02-13T00:23:35.840Z,35.5741667,-117.3508333,5.48,2.52,ml,41,52,0.05036,0.16,ci,ci39550623,2021-02-19T03:34:06.040Z,"21km S of Trona, CA",earthquake,0.2,0.55,0.125,18,reviewed,ci,ci
2021-02-13T00:26:24.908Z,62.382,-148.6037,39.6,2.5,ml,,,,0.59,ak,ak02120rsw78,2021-02-28T07:39:36.803Z,"65 km N of Chickaloon, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-02-13T01:12:24.795Z,1.9854,126.8245,10,4.3,mb,,113,1.321,0.73,us,us6000djc6,2021-03-11T23:49:31.040Z,"134 km WNW of Tobelo, Indonesia",earthquake,8.8,1.9,0.16,11,reviewed,us,us
2021-02-13T01:24:01.721Z,54.3924,-159.9837,10,3.1,ml,,210,0.495,0.52,us,us7000deas,2021-03-02T21:59:30.040Z,"110 km SSE of Sand Point, Alaska",earthquake,2,2,0.088,17,reviewed,us,us
2021-02-13T01:25:17.977Z,30.2551,131.0477,39.01,4.3,mb,,173,1.35,0.66,us,us6000djcq,2021-03-02T21:49:52.040Z,"41 km ESE of Koseda, Japan",earthquake,8.5,9.7,0.138,15,reviewed,us,us
2021-02-13T01:45:11.065Z,52.2529,175.0778,54.23,4.2,mb,,174,0.764,0.8,us,us6000djc9,2021-03-11T23:51:40.040Z,"144 km ESE of Attu Station, Alaska",earthquake,8.7,8.1,0.102,29,reviewed,us,us
2021-02-13T02:29:35.077Z,64.5501,-18.0144,10,4.3,mb,,145,1.439,0.98,us,us6000djcc,2021-03-11T23:52:57.040Z,"126 km S of Akureyri, Iceland",earthquake,6.1,2,0.16,12,reviewed,us,us
2021-02-13T03:54:17.393Z,60.7342,-151.3786,69.2,2.5,ml,,,,0.55,ak,ak02120tr6j8,2021-03-12T01:40:13.040Z,"6 km NW of Nikiski, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-02-13T03:54:42.563Z,-23.9417,-66.9142,244.96,4.2,mb,,106,1.523,0.6,us,us6000dha1,2021-03-12T01:48:31.040Z,"67 km WNW of San Antonio de los Cobres, Argentina",earthquake,10.6,12.8,0.265,4,reviewed,us,us
2021-02-13T03:55:22.900Z,36.2145,-117.933,2.33,2.64,ml,21,96,0.1156,0.17,ci,ci39550831,2021-02-13T05:06:39.902Z,"10km SE of Olancha, CA",earthquake,0.41,1.57,0.229,25,reviewed,ci,ci
2021-02-13T04:02:03.195Z,11.8284,143.7149,25.86,5,mb,,118,2.08,0.56,us,us6000dha6,2021-03-13T04:12:13.322Z,"189 km SSW of Merizo Village, Guam",earthquake,9,6.2,0.079,51,reviewed,us,us
2021-02-13T04:05:56.155Z,-23.5051,171.7847,10,4.9,mb,,103,8.202,0.94,us,us6000djce,2021-03-12T02:59:10.040Z,"southeast of the Loyalty Islands",earthquake,8.4,2,0.149,14,reviewed,us,us
2021-02-13T04:15:04.730Z,19.5536,-66.2996,34,3.03,md,13,280,1.2632,0.2,pr,pr2021044001,2021-02-13T05:31:18.756Z,"Puerto Rico region",earthquake,1.48,13.49,0.13,8,reviewed,pr,pr
2021-02-13T04:17:29.538Z,-5.6262,101.7088,10,4.4,mb,,189,1.767,0.56,us,us6000djcw,2021-03-12T03:00:27.040Z,"211 km SSW of Bengkulu, Indonesia",earthquake,8.2,1.9,0.149,14,reviewed,us,us
2021-02-13T04:18:22.497Z,-6.3432,103.6152,10,5,mb,,80,2.076,1.2,us,us6000dhab,2021-03-12T03:03:02.040Z,"208 km WSW of Bandar Lampung, Indonesia",earthquake,7.2,1.8,0.09,39,reviewed,us,us
2021-02-13T04:30:53.411Z,-6.2612,103.6488,10,5.3,mb,,41,2.01,1.06,us,us6000dhae,2021-03-12T03:08:28.040Z,"200 km WSW of Bandar Lampung, Indonesia",earthquake,6.6,1.7,0.065,78,reviewed,us,us
2021-02-13T04:34:37.016Z,25.4751,61.8136,40.68,4.3,mb,,182,5.108,0.96,us,us6000djcf,2021-03-12T03:09:35.040Z,"47 km N of Jiwani, Pakistan",earthquake,14.8,7.4,0.16,12,reviewed,us,us
2021-02-13T05:05:57.408Z,-22.701,171.4243,10,4.3,mb,,132,7.938,0.9,us,us6000djci,2021-02-24T09:28:57.040Z,"southeast of the Loyalty Islands",earthquake,8.9,1.9,0.142,14,reviewed,us,us
2021-02-13T05:09:11.858Z,-23.3235,171.6666,10,4.9,mb,,112,8.16,0.81,us,us6000dhaq,2021-02-24T09:34:57.040Z,"southeast of the Loyalty Islands",earthquake,12,1.9,0.095,35,reviewed,us,us
2021-02-13T05:12:58.942Z,-5.7455,101.8629,10,4.4,mb,,146,1.754,0.89,us,us6000djcg,2021-02-24T09:40:31.040Z,"219 km SSW of Bengkulu, Indonesia",earthquake,10.9,1.9,0.19,8,reviewed,us,us
2021-02-13T05:15:21.886Z,-23.019,171.6486,10,4.8,mb,,115,7.974,1.21,us,us6000dhat,2021-02-24T09:41:46.040Z,"southeast of the Loyalty Islands",earthquake,13,1.9,0.118,22,reviewed,us,us
2021-02-13T05:18:32.793Z,-4.1495,-80.2562,69.69,5.3,mww,,148,1.946,0.76,us,us6000dhav,2021-02-24T09:43:57.127Z,"33 km W of Celica, Ecuador",earthquake,8,3.3,0.049,40,reviewed,us,us
2021-02-13T05:19:51.392Z,-23.1982,172.1969,10,4.6,mb,,90,7.716,0.58,us,us6000dhax,2021-02-24T09:45:33.040Z,"southeast of the Loyalty Islands",earthquake,7.9,1.9,0.129,18,reviewed,us,us
2021-02-13T05:27:16.910Z,36.0705,-83.6256667,19.6,2.53,md,19,70,0.2237,0.19,se,se60324607,2021-02-24T09:55:48.040Z,"7 km WSW of New Market, Tennessee",earthquake,0.31,0.78,0.028,14,reviewed,se,se
2021-02-13T05:34:38.839Z,0.4767,97.0187,10,4.9,mb,,184,0.992,0.61,us,us6000djcj,2021-02-26T13:09:44.040Z,"217 km SSW of Singkil, Indonesia",earthquake,4.3,1.9,0.117,23,reviewed,us,us
2021-02-13T06:13:09.986Z,37.9368,69.3551,10,4.5,mb,,91,2.404,1.08,us,us6000djcl,2021-02-26T13:18:00.040Z,"17 km S of Danghara, Tajikistan",earthquake,7.8,1.9,0.145,14,reviewed,us,us
2021-02-13T06:40:07.112Z,-23.1339,172.0256,10,4.5,mb,,119,7.788,1.23,us,us6000djcn,2021-02-27T06:26:55.040Z,"southeast of the Loyalty Islands",earthquake,11.7,1.9,0.15,13,reviewed,us,us
2021-02-13T06:45:51.237Z,-23.2394,171.1347,10,4.4,mb,,106,8.479,0.87,us,us6000djcr,2021-02-27T06:31:17.040Z,"southeast of the Loyalty Islands",earthquake,8.7,2,0.149,13,reviewed,us,us
2021-02-13T06:52:40.499Z,-15.5055,66.442,10,4.3,mb,,90,5.142,0.22,us,us6000djcs,2021-02-27T06:34:46.040Z,"Mid-Indian Ridge",earthquake,9.6,1.9,0.154,12,reviewed,us,us
2021-02-13T06:57:26.512Z,44.2642,-115.196,10,2.5,ml,,68,0.17,0.59,us,us6000dhbu,2021-02-27T06:36:49.040Z,"21 km WNW of Stanley, Idaho",earthquake,2.5,2,0.06,36,reviewed,us,us
2021-02-13T07:17:06.350Z,-20.224,168.3926,10,4.6,mb,,97,9.466,0.55,us,us6000djcv,2021-02-27T06:41:36.040Z,"119 km SW of Isangel, Vanuatu",earthquake,8,1.8,0.122,20,reviewed,us,us
2021-02-13T07:40:00.258Z,-23.7225,171.4456,10,4.6,mb,,75,8.577,0.82,us,us6000djcx,2021-02-27T09:07:59.040Z,"southeast of the Loyalty Islands",earthquake,7.6,1.9,0.173,10,reviewed,us,us
2021-02-13T08:22:49.761Z,-23.1892,171.9217,10,4.2,mb,,157,18.079,0.63,us,us6000djcz,2021-02-27T13:18:08.040Z,"southeast of the Loyalty Islands",earthquake,15,2,0.152,12,reviewed,us,us
2021-02-13T08:23:16.310Z,-23.3234,171.7152,10,4.5,mb,,116,8.126,0.7,us,us6000djei,2021-02-27T13:25:07.040Z,"southeast of the Loyalty Islands",earthquake,11.3,1.9,0.121,20,reviewed,us,us
2021-02-13T08:23:42.030Z,34.38566667,-97.41783333,5.25,2.52,ml,64,62,0.05128993517,0.33,ok,ok2021dbfg,2021-02-27T13:27:25.040Z,"10 km SE of Ratliff City, Oklahoma",earthquake,,0.8,0.27,25,reviewed,ok,ok
2021-02-13T08:24:11.302Z,-23.3573,171.7963,10,4.4,mb,,99,13.113,1.38,us,us6000djd9,2021-02-27T13:36:53.040Z,"southeast of the Loyalty Islands",earthquake,13.8,1.9,0.13,17,reviewed,us,us
2021-02-13T09:01:42.200Z,17.9495,-66.5235,11,2.58,md,18,186,0.1247,0.24,pr,pr2021044005,2021-02-13T11:15:17.120Z,"5 km SSW of Potala Pastillo, Puerto Rico",earthquake,0.52,0.62,0.14,13,reviewed,pr,pr
2021-02-13T09:12:20.314Z,-15.2623,66.5398,10,4.1,mb,,184,15.135,0.49,us,us6000djd4,2021-03-11T11:19:54.040Z,"Mid-Indian Ridge",earthquake,15.5,2,0.197,7,reviewed,us,us
2021-02-13T11:20:58.900Z,17.6045,-68.8413,73,3.6,md,8,307,1.019,0.6,pr,pr2021044008,2021-02-22T07:23:24.040Z,"89 km SSW of Boca de Yuma, Dominican Republic",earthquake,10.77,20.68,0.07,6,reviewed,pr,pr
2021-02-13T11:22:27.455Z,33.4194,141.1294,42.68,4.4,mb,,126,1.143,0.72,us,us6000dhd4,2021-02-13T18:27:23.034Z,"205 km SSE of Katsuura, Japan",earthquake,7,7.1,0.134,16,reviewed,us,us
2021-02-13T11:29:23.856Z,40.0265,44.4592,10,4.9,mb,,37,0.247,0.56,us,us6000dhd5,2021-02-17T15:01:34.050Z,"0 km ENE of Hovtashen, Armenia",earthquake,3.9,1.9,0.071,62,reviewed,us,us
2021-02-13T12:08:30.850Z,33.5851667,-118.293,1.91,2.62,ml,84,82,0.1271,0.29,ci,ci39551247,2021-02-22T07:12:21.040Z,"17km S of San Pedro, CA",earthquake,0.25,0.45,0.219,22,reviewed,ci,ci
2021-02-13T12:25:24.604Z,4.7493,126.6968,51.8,4.6,mb,,109,4.007,0.57,us,us6000dhdd,2021-02-13T14:50:35.040Z,"154 km ESE of Sarangani, Philippines",earthquake,11.3,7.6,0.081,46,reviewed,us,us
2021-02-13T12:40:14.089Z,31.5827,-104.23,5,2.6,ml,,71,0.246,0.51,us,us6000dhdf,2021-02-13T14:16:09.040Z,"51 km NW of Toyah, Texas",earthquake,1.4,1.9,0.058,39,reviewed,us,us
2021-02-13T12:55:08.667Z,31.6493,-104.3593,5,2.8,ml,,67,0.122,0.29,us,us6000dhdi,2021-02-13T14:18:36.040Z,"58 km S of Whites City, New Mexico",earthquake,1.3,1.5,0.081,66,reviewed,us,us
2021-02-13T13:06:45.607Z,-11.5392,166.6242,33.93,5,mb,,145,6.889,0.8,us,us6000dhdm,2021-03-14T16:01:54.040Z,"127 km SE of Lata, Solomon Islands",earthquake,10.8,6.7,0.097,34,reviewed,us,us
2021-02-13T13:08:55.027Z,57.1463,-155.0386,49.7,5.3,mww,,,,0.84,ak,ak02120zfqhy,2021-03-14T16:24:47.072Z,"57 km WNW of Akhiok, Alaska",earthquake,,0.7,,,reviewed,ak,ak
